,post_caption
342797,"Chinese classic 凉拌dish, the equivalent of western Salad. 
It was during my farming days that one ☝🏽 of the dishes I picked up from a Chef who created a dish from the waste cut after his amazing watermelon 🍉 dessert. 
A very cooling dish to remove heat in the body, helps with water retention are some of the effects on raw salad. Raw and cold dishes like these isn’t suitable for those who has weak stomach that need to refrain from any cold food. 
None the less a simple dish made out of food waste is a reminder of how traditional culinary wisdom has its place in this world today where the amount of waste within a city and the increasing population are beyond recognition. 
There are many ways of delivering this dishes online, please share if you have any other interesting ways to prepare this dish too :) #covidmeals #covidlesson #stayhomewithascott #instafood #sgfood #foodsg #sgfoodie #foodforthought #healtheworld #makeitabetterplace #yum #yummy #chinesesalad #凉拌 凉拌菜 #凉拌西瓜皮 #watermelonskin #foodnowaste #creativewaste"
345962,"What can you make with #almonds? #vegan #almondricottacheese 🧀 by blending almonds with miso, #nutritionalyeast, lemon 🍋 salt 🧂 and 💧 water. Pic 2: #raw #almondmilk Pic 3: almond meal squeezed from milk 🥛 and baked dry in oven for 20 mins. These could be used for baking. #zerowaste #plantbased #sustainableliving #earthfriendlyfood #nuts"
347897,"For your grocery-shopping trips, ensure that you already have a shopping list prepared, and stick to the shopping list strictly! Do not overbuy food that eventually ends up half-eaten and forgotten in your fridge! Let's shop sustainably and Live Green. 
#globalwarming #consumerism #zerowastesingapore #foodwaste #climatechange #climatechangesg #livegreen #gogreen #sustainabilitysg #ecofriendlysg #livegreenwithus #collectiveeffort #drasticweather #wasteless #environmentalawareness #environmentalcare #climateactionsg #actbeforeitistoolate #greenhousegas  #ghgemissions #greenhouseeffect #carbonfootprintsg #sustainabilitysg"
348756,"Red Veined Sorrel are a chef’s delight. They produce a lemon-like taste and will make any dish stand out in appearance! Seeds now available. Link in bio.

Easy to grow. Sprinkle a handful of seeds in good quality seedling mix and cover with thin layer of soil. Keep medium moist. Germination can take up to 7-10 days but once a few start germinating, the rest will follow.

#everythinggreensg #msesingapore #workshops #onlinecoursesg #howtogrow #sgactivities #sorrel #redveinedsorrel #gardeningtips #sorrelmicrogreens #sgchef #growtoeat #gardeningsg #sowseeds #hdbgarden #growyourown #sustainablefarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #cocopeat #groworganic #tampines  #sustainablefood #clementi"
348760,"It’s short of a CB here in Singapore and it’s up to us to take responsibility and keep ourselves safe and indoors as much as possible. 
🌱 If you are looking for something to keep yourself or your loved ones engaged during this period, try our Microgreens Grow Bags. 
🌱 It comes in 3 varieties - 
🥗Micro-Salad 
🥗 Micro-Herb 
🥗 Micro-Radish

#everythinggreensg #microgreens  #herbs #urbangardening #growyourown #sustainablefarming #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #cocopeat #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #oursg #sgvegan #growedibles #plantwithkids"
348761,"#fenugreek or #methi leaves ☺️

🌱 A simple herb to grow in your garden. 

🌱 A freak source of Vitamin E, protein & iron for your body. Also filled with antioxidants and mineral that aid health ailments benefits such as diabetes,  digestion, and weight gain.

🌱 Fenugreek leaves give a milder flavour compared to the seeds, which can be harder to consume.

🌱 In Indian cooking, these go well as a garnish to dhal, paneer, or soups like rasam 😋

#everythinggreensg #microgreens  #herbs #urbangardening #growyourown #sustainablefarming #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #climatechange #sgvegan #growedibles"
348762,"#mizunamustard  is an excellent source of vitamin-K which plays a potential role in the bone mass building function by promoting osteoblastic activity in the bone.

Suitable for harvesting at any stage from micro to mature greens. If growing into the latter, grow in partial shade in Singapore because this is a cool climate crop.

#everythinggreensg #microgreens  #mustard #urbangardening #growyourown #sustainablefarming #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #cocopeat #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #climatechange #sgvegan #growedibles"
348766,"Fight climate change with diet change.

Your footprint matters. Growing your own food helps reduce footprint in so many ways. Start small and make a big change.

Growing your own microgreens are more sustainable from crops grown to maturity on large industrial farms. Many of today’s farms use pesticides and chemicals as inputs, and are often transported hundreds of miles to market. 

You can make microgreens even more sustainable using organic seeds and growing with natural energy. Happy Earth Day, everyone!

#everythinggreensg #microgreens  #earthday2021 #urbangardening #growyourown #sustainablefarming #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #cocopeat #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #climatechange #sgvegan #growedibles"
348767,"Here’s a test on growing medium. In my workshops I often get asked about using alternative mediums for growing microgreens such as coffee ground and tea leaves. So I decided to try it.

In this video, I used coffee ground in one punnet and my ReadyToGrow mix (which is largely coco peat) in the other. I used Daikon Radish seeds on both mediums because they are quick and easy to germinate.

The results are clear.

#everythinggreensg #microgreens  #howtogrow #urbangardening #growyourown #earthday #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #cocopeat #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #daikonradish #experiment #growedibles"
348768,"#ChinaRoseRadish. 
In my Top 5 list of easy microgreens to grow. Just 6 days from sowing to harvesting 

#everythinggreensg #microgreens  #urbangardening #growyourown #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #growyourownfood #radish #growedibles
#microradish"
348769,"It’s mango season! 

Growing up in Singapore, I remember waiting in anticipation as my Uncle in India would send us a box of the finest mangoes all the way from Mumbai (Bombay in those days). It was air flown (so it must have cost him an arm and a leg in those days) to ensure freshness because he always said his sister deserved the best. The mangoes were special because back then they weren't so readily available in Singapore.

Fast forward to present where almost every conceivable variety of mango - from Alfanso to Ratnagiri to Chousa - from India is so readily available. On the one hand, it takes away the uniqueness of the fruit but on the other, it allows us to celebrate the season for a much longer time.

Check out 2 of my favorite mango recipes. Link in bio.

#everythinggreensg #microgreens  #madaboutmangoes #urbangardening #growyourown #mangomadness #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #groworganic #tampines #organic #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #mangosalad #mangoes #salad"
348770,"#carrotmicrogreens One of the easiest microgreens to grow in Singapore. We cover the seeds in coco peat mix during germination. Tastes just like carrots!

#everythinggreensg #microgreens  #urbangardening #growyourown #indoorgardening #urbanfarming #urbanfarmingsg #singapore #foodwastesg #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #groworganic #tampines #hdb #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #tinycarrots #hydroponicfarm #growedibles"
348772,"Red cabbage microgreens on toor dhal. We usually add fenugreek microgreens on our dhal but let us tell you, the sweet flavour of red cabbage blends beautifully with our toor dhal. So tasty! 

#everythinggreensg #microgreens  #hdbfarming #urbangardening #growyourown #indoorgardening #urbanfarming #urbanfarmingsg #singapore #foodwaste #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #tampines #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #redcabbage #hydroponicfarm #growedibles #dhal #indianfood"
348774,"Loving how our red cabbage microgreens are turning out, especially with the really warm weather now. We’re being extra careful, ensuring they get sufficient water.  #redcabbage microgreens
Main health benefits of Red Cabbage microgreens.
✅ lowers cardiovascular disease 
✅ lowers LDL cholesterol 

#everythinggreensg #microgreens  #hdbfarming #urbangardening #growyourown #indoorgardening #urbanfarming #urbanfarmingsg #singapore #foodwaste #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #redcabbage #tampines #hdb #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #salads #hydroponicfarm #growedibles"
348775,"Looks like a forest of Microgreens, doesn’t it? 🌱🌱🌱🌱 #broccoli 

#everythinggreensg #microgreens  #hdbfarming #urbangardening #growyourown #indoorgardening #urbanfarming #urbanfarmingsg #singapore #foodwaste #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #tampines #hdb #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #broccolisprouts #hydroponicfarm #growedibles"
348776,"Just looking at this salad will make you crave healthy greens. It’s perfect as a side for any day of the week and offers a great way to incorporate microgreens, an excellent source of vitamins and phyto-nutrients for your body. In this salad mix, we have tossed sunflower shoots, a good source of Vitamins A, B complex and rich in calcium. The advantages of adding microgreens to your everyday meals are countless.
✅ powerhouse  packed with vitamins 
✅ great source of beneficial plant compounds like antioxidants
✅ can easily be incorporated into salads, sandwiches or wraps 
✅ perfect every time!

#everythinggreensg #microgreens  #hdbfarming #urbangardening #growyourown #indoorgardening #urbanfarming #urbanfarmingsg #singapore #foodwaste #sgchef #bukitbatok #jurong #foodsecurity #pasirris #chengsan #salads #tampines #hdb #sustainablefood #clementi #siglap #healthyeats #hydroponicsg #sgvegan #sgfoodie #futureofFood #sunflowershoots #hydroponicfarm #growedibles"
